iter	MultiClass
0	1.042845154
1	1.001651445
2	0.9705600805
3	0.9466680351
4	0.9276978341
5	0.9127156521
6	0.900464023
7	0.8906617588
8	0.8826607978
9	0.8761221165
10	0.8707631736
11	0.8663265482
12	0.8624212507
13	0.859281707
14	0.8565494346
15	0.8543945129
16	0.8524931455
17	0.8507811324
18	0.8493238872
19	0.8480033726
20	0.8469189795
21	0.8459284925
22	0.8451103008
23	0.844288579
24	0.8435795304
25	0.842852634
26	0.8419907211
27	0.8412063669
28	0.8403370746
29	0.8397977981
30	0.8392141642
31	0.8388450855
32	0.8384071005
33	0.8380804861
34	0.8377598895
35	0.8373752848
36	0.8370104445
37	0.836694203
38	0.8363637442
39	0.8360685487
40	0.8356730821
41	0.8354566899
42	0.8351425171
43	0.8349311126
44	0.8347186511
45	0.8342917837
46	0.8340343511
47	0.8338405363
48	0.8334718161
49	0.833067184
50	0.8327347396
51	0.8322925777
52	0.8321078094
53	0.831937164
54	0.831654501
55	0.8313650888
56	0.8310090423
57	0.8307269094
58	0.8305123773
59	0.8302792217
60	0.8298021374
61	0.829379678
62	0.8292048584
63	0.8289203806
64	0.8286285022
65	0.8284496957
66	0.8279699843
67	0.8277479025
68	0.8274823426
69	0.8273167063
70	0.8271729997
71	0.8268321021
72	0.8266209083
73	0.8264115489
74	0.8261458241
75	0.825979876
76	0.8257317717
77	0.8255349117
78	0.8252229353
79	0.8250620096
80	0.8248628241
81	0.8246462576
82	0.8245070245
83	0.824153622
84	0.8239947576
85	0.8237760502
86	0.8235130209
87	0.8233438633
88	0.8231849836
89	0.8230321547
90	0.8229267878
91	0.8226713436
92	0.8222735212
93	0.8221122985
94	0.8219894345
95	0.8219084046
96	0.8216406737
97	0.8213051504
98	0.8211184943
99	0.8209946098
100	0.8208432492
101	0.8206915485
102	0.8204627843
103	0.820268215
104	0.8201613286
105	0.8198808742
106	0.8196720383
107	0.8193024326
108	0.8191557035
109	0.8189933297
110	0.8189109145
111	0.8187281277
112	0.8184468968
113	0.8183065935
114	0.8182262188
115	0.8179802574
116	0.8178634044
117	0.8176652829
118	0.8174270204
119	0.8171799272
120	0.8170617333
121	0.8168156481
122	0.8166801694
123	0.8164983394
124	0.8163161714
125	0.8161694271
126	0.8159856136
127	0.815652948
128	0.8154700289
129	0.8152397164
130	0.8149686622
131	0.8145335921
132	0.8143341425
133	0.8142540835
134	0.8140041037
135	0.8138629504
136	0.8135927835
137	0.8134787052
138	0.813271569
139	0.8130066599
140	0.8129028362
141	0.8126949458
142	0.8124386232
143	0.8122383074
144	0.8120890691
145	0.8119814827
146	0.811864407
147	0.8117742914
148	0.8116227636
149	0.8114240747
150	0.811238528
151	0.8110303889
152	0.8108507186
153	0.8106804539
154	0.8104378233
155	0.8102296772
156	0.810038265
157	0.8097341551
158	0.8095936959
159	0.8095122336
160	0.8093987234
161	0.8093181696
162	0.8090208023
163	0.8087972408
164	0.8086051362
165	0.8083637774
166	0.8082454822
167	0.808116245
168	0.8079734724
169	0.8078722619
170	0.8075936863
171	0.807438452
172	0.8072050198
173	0.8070559692
174	0.8068850928
175	0.8066729128
176	0.8065280716
177	0.8062640819
178	0.806076906
179	0.8058576869
180	0.8056648571
181	0.8054614081
182	0.80534941
183	0.8051133648
184	0.8049191854
185	0.8047578551
186	0.8045834436
187	0.8043634257
188	0.8041827067
189	0.8040455544
190	0.8039046777
191	0.8037985174
192	0.8035348665
193	0.8034303741
194	0.8032136186
195	0.8030101282
196	0.802897519
197	0.8028362574
198	0.8025945012
199	0.8023604501
200	0.8021765409
201	0.8020064499
202	0.8017904669
203	0.8016166394
204	0.8014021019
205	0.8011719131
206	0.8009636978
207	0.8008360789
208	0.8006968488
209	0.8006015848
210	0.8004475923
211	0.8002508514
212	0.8000510753
213	0.7998482653
214	0.7995675347
215	0.7993964152
216	0.7991478895
217	0.798928089
218	0.7986750686
219	0.7984846908
220	0.7982990653
221	0.7981465848
222	0.7979504899
223	0.7977688537
224	0.7976691604
225	0.7975017275
226	0.7973822608
227	0.7972260232
228	0.7970128267
229	0.7968785049
230	0.7966821132
231	0.7964751449
232	0.7963983706
233	0.7963154183
234	0.7961519735
235	0.7959845076
