iter	Passed	Remaining
0	778	777651
1	1521	759402
2	2192	728558
3	2883	718054
4	3499	696366
5	4157	688771
6	4776	677561
7	5381	667342
8	5977	658213
9	6629	656307
10	7259	652658
11	7856	646846
12	8502	645538
13	9167	645655
14	9917	651278
15	10541	648310
16	11220	648785
17	11824	645071
18	12454	643027
19	13047	639315
20	13608	634438
21	14169	629906
22	14765	627193
23	15394	626058
24	15964	622617
25	16563	620494
26	17207	620105
27	17764	616671
28	18280	612073
29	18863	609929
30	19517	610077
31	20096	607930
32	20690	606305
33	21348	606560
34	21923	604461
35	22446	601054
36	22898	595987
37	23419	592870
38	24010	591653
39	24600	590418
40	25060	586180
41	25535	582450
42	26100	580881
43	26606	578092
44	27203	577314
45	27701	574509
46	28281	573450
47	28912	573431
48	29525	573042
49	30043	570835
50	30673	570759
51	31285	570351
52	31909	570159
53	32445	568404
54	33018	567315
55	33625	566831
56	34296	567404
57	34774	564788
58	35242	562089
59	35916	562694
60	36581	563115
61	37081	561009
62	37688	560548
63	38416	561842
64	39169	563435
65	39702	561849
66	40137	558930
67	40683	557609
68	41277	556951
69	41904	556733
70	42479	555821
71	43335	558541
72	43904	557527
73	44523	557139
74	45396	559884
75	46030	559631
76	46767	560606
77	47401	560307
78	47916	558626
79	48446	557132
80	49082	556871
81	49549	554708
82	50256	555244
83	50728	553182
84	51216	551333
85	51888	551462
86	52425	550165
87	53007	549353
88	53525	547888
89	54116	547181
90	54668	546081
91	55215	544953
92	55856	544749
93	56508	544649
94	57028	543269
95	57524	541689
96	58046	540375
97	58649	539818
98	59310	539787
99	59854	538688
100	60344	537127
101	60860	535807
102	61471	535338
103	62154	535482
104	62676	534243
105	63169	532767
106	63784	532329
107	64307	531130
108	64881	530363
109	65516	530089
110	66149	529791
111	66729	529066
112	67268	528025
113	67791	526867
114	68299	525610
115	68775	524119
116	69356	523431
117	70000	523224
118	70555	522349
119	71152	521788
120	71615	520249
121	72180	519462
122	72791	519008
123	73467	519013
124	74031	518220
125	74618	517588
126	75187	516838
127	75806	516432
128	76474	516349
129	77252	516994
130	78007	517472
131	78599	516851
132	79255	516650
133	79870	516175
134	80539	516048
135	81171	515679
136	81848	515588
137	82511	515396
138	83055	514465
139	83755	514499
140	84385	514092
141	85079	514071
142	85875	514652
143	86555	514523
144	87267	514577
145	87884	514063
146	88691	514650
147	89311	514144
148	89926	513606
149	90623	513530
150	91411	513962
151	92183	514288
152	92877	514162
153	93428	513248
154	94104	513023
155	94756	512656
156	95241	511391
157	95836	510726
158	96459	510202
159	97098	509766
160	97843	509880
161	98489	509467
162	99097	508861
163	99684	508147
164	100366	507916
165	101021	507541
166	101737	507468
167	102286	506560
168	102932	506134
169	103489	505271
170	104060	504479
171	104642	503743
172	105287	503311
173	105827	502375
174	106459	501878
175	106985	500886
176	107635	500476
177	108130	499344
178	108762	498850
179	109278	497824
180	109882	497201
181	110465	496488
182	111023	495661
183	111641	495107
184	112368	495030
185	113020	494617
186	113659	494146
187	114203	493261
188	114679	492090
189	115234	491262
190	115862	490747
191	116479	490183
192	117057	489458
193	117739	489166
194	118360	488614
195	119053	488361
196	119878	488639
197	120465	487947
198	121004	487058
199	121816	487265
200	122538	487106
201	123345	487275
202	123847	486237
203	124522	485882
204	125171	485420
205	125769	484762
206	126292	483817
207	126913	483246
208	127473	482448
209	128254	482479
210	128777	481540
211	129329	480715
212	130207	481094
213	131005	481170
214	131583	480434
215	132222	479918
216	132794	479160
217	133370	478419
218	134009	477907
219	134823	478010
220	135519	477690
221	136311	477703
222	137008	477379
223	137796	477367
224	138598	477393
225	139276	476989
226	139961	476608
227	140692	476380
228	141278	475658
229	142128	475819
230	142922	475791
231	143829	476124
232	144610	476035
233	145308	475667
234	145897	474944
235	146526	474349
236	147255	474075
237	147923	473603
238	148520	472903
239	149140	472279
240	149912	472130
241	150649	471868
242	151325	471411
